Protein;Control_1;Control_2;Control_3;Control_4;HU_1;HU_2;HU_3;HU_4
P11972;200249.0625;172860.1875;196941.21875;143695.90625;117699.8203125;121515.9765625;135085.453125;122819.7265625
P11978;26958.03125;23149.466796875;24803.4375;20217.75390625;15320.8134765625;15061.4453125;7276.50146484375;19368.98046875
P11986;268043.53125;319816.4375;762520.25;766353.3125;270834.09375;350324.59375;625982.375;669280.3125
P12383;388375.28125;457665.40625;373562.40625;457152.125;401011.1875;381955;323632.0625;467738
P12385;1211314;1123167.5;1308458.25;1319952;1493874.875;1593159.5;1623499;1675121.875
P12611;178735.734375;162111.734375;180862.46875;172885.34375;150706.390625;157929.59375;141167.25;155538.84375
P12612;539447.0625;534144.125;586799.0625;544068.9375;538582.9375;548871.9375;557098.3125;568820.3125
P12630;258893.671875;270238;244621.84375;220254.015625;143954.109375;131468.359375;158144.28125;157734.703125
P12683;89849.625;86892.84375;98047.3828125;86777.921875;124047.34375;118961.0859375;127993.84375;119964.953125
P12684;188141.265625;166530.734375;198446.4375;182970.0625;156530.625;165600.1875;167325.53125;162757.515625
P12686;82503.171875;95927.203125;106897.9375;84204.21875;80020.03125;91705.890625;104343.8359375;74308.0703125
P12687;86914.0234375;96056.6484375;101273.796875;83720.0234375;87591.703125;83126.921875;75975.3125;88943.1328125
P12688;336725.40625;296230.5625;266756;300450.25;403090.65625;376581.5;357058.5;381997.84375
P12695;1660092.5;1682391.625;1619956.875;1616589.625;1813690.5;1752962.625;1705807.75;1630051.875
P12709;10463158;14221079;14272723;12056701;14615967;14593237;14650337;15173980
P12753;138026.703125;98996.4140625;105711.265625;135947.203125;104939.515625;96917.8125;110870.1328125;110174.3046875
P12754;223282.6875;185453.046875;249811.5;227446.109375;184145.859375;197803.59375;190232.21875;190765.53125
P12868;62438.2890625;45364.265625;63750.0078125;54503.45703125;51703.08984375;54688.109375;65809.0546875;59163.046875
P12887;140333.484375;124538.40625;134050.3125;118498.125;91436.421875;104316.6875;106639.0625;102419.5703125
P12904;78047.703125;62218.42578125;79665.203125;66104.65625;78033.59375;79967.4453125;84611.6171875;89679.6953125
P12945;225155.859375;207168.796875;236807.8125;216718.78125;276306.5625;281711.59375;312111.25;312086.0625
P12962;347859.875;357165.90625;311406.25;322265.59375;223304.3125;221213.8125;245527.859375;262212.5
P13130;0;33812.20703125;17200.677734375;28823.244140625;195324;327820;225571.671875;210254.09375
P13134;68075.2578125;44719.65625;68775.5390625;57465.19921875;51496.4140625;51345.80859375;48732.52734375;64179.01953125
P13185;95619.0703125;85949.8515625;82977.3671875;89501.875;96927.0703125;90953.3359375;93800.2265625;88230.8671875
P13186;2066005.125;2243061.25;1922618;2145922.5;1754910.625;1624306.625;1874856;2024779.25
P13188;1369123;1188850.25;1291261.875;1284373.75;1201870.125;1187426.375;1149726.125;1233751.375
P13259;62789.50390625;79783.0859375;60200.6953125;68635.5234375;46899.86328125;53664.52734375;48356.27734375;56649.58984375
P13298;469152.71875;432347.3125;673297.0625;469766.03125;1228898.875;1380872.125;1991607;1410105.125
P13382;201740.78125;185371.71875;202704.5625;183830.171875;240564.640625;238705.4375;263702.53125;239649.0625
P13393;313238.625;238500.09375;317405;372311.8125;289252.375;267504.375;302893.0625;259464.609375
P13433;83477.3515625;44300.48828125;79121.8671875;126655.9921875;78115.28125;72805.953125;84606.546875;76826.7578125
P13517;705467.375;753856.25;756448.125;689281.1875;727027.875;830536.9375;814043.125;796758.3125
P13574;56353.12109375;47995.5859375;56030.2109375;41273.5625;49596.9375;52119.30078125;59860.71875;63240.3046875
P13586;210034.4375;203008.84375;207410.953125;197836.890625;251440.296875;244355.734375;234104.6875;239326.046875
P13663;2910732;2632927.25;2676305.25;2760625;2979540;3050248.25;3017873.25;3015171.5
P13712;74730.78125;58763.6015625;71346.9375;72477.828125;69345.9921875;67969.1875;76317.40625;70139.0078125
P13856;225913.765625;230383.234375;198012.015625;223181.6875;172327.625;172278.875;187996.515625;205106.953125
P14020;2182276.75;2046190.75;2335644.25;2183949.75;2311531.25;2503832.5;2542266;2673383.75
P14063;69214.4375;79438.0703125;65390.8984375;74803.6953125;67777.625;59781.1484375;65274.80859375;86252.2890625
P14065;208923.53125;366298.3125;372258.75;337552.96875;920631.5;843779.6875;928609.9375;854955.5
P14120;2375550.75;1618220.5;2718962.75;1920731.625;2782565;3196725.5;4055340.5;3572083.75
P14126;9839841;11490522;12086642;9519061;11398317;11957282;10684287;11481825
P14164;243961.875;248580.09375;257855.875;244554.5625;269475.4375;262455.15625;262727.5;231597.78125
P14306;878405;1508999.625;1325611.125;1306121.875;1474572.875;1390139.75;1414294.25;1575877.375
P14359;69822.875;61186.36328125;63111.2421875;75795.515625;53884.60546875;56096.984375;60685.57421875;55812.3359375
P14540;63906772;83074624;72534696;67076152;107485760;101832464;99114960;93878096
P14680;106459.546875;114028.0703125;114563.2265625;125755.65625;95884.875;92345.3359375;93832.34375;85446.6953125
P14682;151450.171875;165862.5625;172217.921875;147912.703125;194818.71875;162415.921875;214292.953125;179801.46875
P14693;94411.125;200106.421875;154009.0625;98838.3203125;106053.0546875;105875;111036.8203125;135098.09375
P14736;1271235.875;1183263.875;1261460.75;1159196.125;2119308.5;1786360.75;3458278;1331522.5
P14741;88988.8515625;74011.390625;105172.03125;108840.1328125;71018.171875;82041.359375;88481.1640625;91056.171875
P14742;959814.4375;901521.75;1193515;1006930.4375;1024300.9375;1133124.5;1317773.625;1191850
P14743;230729.4375;191404.78125;254012.484375;215008.59375;250290.546875;251867.75;259901.484375;278108.84375
P14747;220926.078125;219175.3125;270462.875;245131.96875;217412.4375;267696.3125;277389.84375;267112.59375
P14772;72323.46875;59359.95703125;75782.59375;71619.3359375;60029.078125;54860.4765625;63850.52734375;66445.6171875
P14832;31680540;37187876;31225594;32520776;24396972;22580246;24007154;22643194
P14843;1192858.625;1241974.625;1291189.5;1214003;1535488.125;1572383;1466133.125;1442592.875
P14904;1675568.5;2063110;2074291.875;2163027.25;2807185;2639456.25;3099896.25;2684488.5
P14906;546802.3125;529695.6875;575996.3125;607663.75;613389.4375;613519.6875;631809.125;645536.875
P14907;493806.9375;431246.4375;378920.4375;436290.96875;303330.65625;298966.25;334629.5;276485.34375
P14908;47876.93359375;45650.74609375;64843.27734375;62356.109375;61266.8125;62184.94921875;64358.96875;75082.2109375
P14922;219354.671875;215025.953125;199023.9375;207273.390625;188996.046875;178018.578125;189999.375;187438.21875
P15019;8310731.5;7896422.5;8197615.5;8243345;12610242;12056492;12624715;11922172
P15108;6608615;5162991.5;5433539.5;5368596.5;5708664.5;5855409;5703167;5400285.5
P15179;38142.8359375;38277.0546875;44015.07421875;46671.1171875;34633.18359375;35629.875;38587.18359375;42973.3984375
P15180;2249084;2101591;2083765.375;2090997.25;2020871.5;2028065.25;1925076.5;2088075
P15274;240274.265625;266932.375;254789;255659.578125;293103.625;286526.375;304775.84375;295721.59375
P15303;1719919.375;1709762.375;1952403.75;1702696.625;1345525;1387197;1452457.75;1490269.625
P15367;73696.4453125;80921.5078125;127911.8828125;120279.7109375;101954.046875;117642.1484375;112608.8046875;139653.296875
P15424;305272.875;284220.53125;327466.5;265206.21875;371145.21875;419316.3125;429423.09375;423239.75
P15436;30637.41015625;23237.8203125;31638.73046875;40975.83984375;24635.392578125;26227.845703125;28953.25390625;34221.296875
P15442;26416.384765625;24513.8359375;37699.76171875;28646.33203125;23376.71875;38243.2734375;36774.48046875;46203.44140625
P15454;2259607;2258852.75;1844740.375;2022725.25;1938879.875;1800579.5;1943422.25;1808533.875
P15496;622842.1875;676906.5;628580.6875;643474.5;768814.625;697437.1875;711057.6875;667775.4375
P15565;387246.25;372740.15625;342308.8125;337192.84375;338804.34375;329059.5625;312774.21875;335057.3125
P15624;1192203.25;1172763;1127264;1085390.875;1433235.875;1401004.5;1335776.5;1379579.875
P15625;1299625.625;1116033.125;1078530.5;1194927.25;1220159;1189393.875;1171744.75;1245049.375
P15646;2634045.25;3300676.25;3158125.75;2606802;2979310.75;3034805.25;2629349;3415314.5
P15700;875604.4375;819777.25;853773.1875;956599.8125;957482;910318.9375;909800.1875;931299
P15703;1921370.5;2061954.875;2600399;2334565.5;1963754;2015661;2058698.5;2411835
P15705;2339053.75;2176515;1977726.75;2133160.75;2444175.75;2237580.25;2378940.5;2142097.75
P15731;250132.53125;194244.25;311161.1875;292941.34375;474509;451438.15625;399439.78125;293277.5625
P15732;50913.42578125;179894.703125;104168.171875;38885.65234375;903733.625;606887.4375;912940.1875;844728.625
P15790;79824.5625;77884.6796875;94380.9921875;87140;108836.90625;124221.40625;131009.328125;133850.03125
P15801;669761.9375;840866.875;412229.125;634521.3125;452615.15625;340292.34375;201302.546875;260428.8125
P15807;0;0;0;0;36991.078125;42155.1875;40038.8984375;46782.41796875
P15873;630389.25;602304.3125;777348.6875;556354.1875;694474.375;888273.1875;1268609;1083996.5
P15891;3640417.5;3770080;3253858.5;3804199.5;3742660.5;3524426.5;3664309.25;3349269.5
P15938;19025.142578125;15725.5556640625;15222.04296875;23561.5078125;11580.935546875;14900.8828125;16324.7998046875;18928.517578125
P15992;2319219.25;3206266.75;2968669.75;3551778.75;3058397.75;3202068.25;3252957.25;3040802.75
P16120;3017453.5;2936276.75;2725428.25;2886960.25;2969669.25;2722288.5;2594070.5;2558238.5
P16140;5788159.5;6331893;5821320;5834407;5095587;4979657;4937440.5;5298291.5
P16370;284607.375;259451.140625;303487.90625;310738.0625;303776.5625;308327.9375;264370.125;277071.5625
P16387;1129368.125;1215055.75;1125786.125;1015854.25;1156905.5;1215472;1128146;1242249.125
P16451;179964.34375;182492.6875;166885.25;189220.90625;195230.734375;184986.953125;199927.078125;188145.375
P16474;1883762.25;1867600.125;1723920.125;1767373;2296601;2189650;2060223.625;2137663.75
P16521;21267570;21842236;22729086;20240670;23885140;23503430;23028838;25788202
P16547;407289.0625;624856.0625;580292.375;599507.75;653508.875;662372.5;662399.6875;583455.8125
P16550;971222.75;1209378.5;1183712.5;995287.8125;1274054.75;1322186.25;1236786;1356747.75
P16603;1300019.875;1177459.75;1452376.25;1329999.5;1397401.875;1379525.75;1412910.125;1499512.875
P16622;631993.4375;857096.5625;727693.5;714046.5;753507.3125;764041.375;716736.875;683502.8125
P16639;27471.62890625;25280.93359375;38329.7734375;30110.837890625;40151.84375;39317.84375;42210.09765625;24282.689453125
P16649;551082.3125;549744.8125;554350;576428;601304.5625;636649.5625;643255.25;614289.5625
P16661;20715.20703125;19516.330078125;20640.244140625;33391.25;20079.21484375;17448.265625;28755.6328125;29292.767578125
P16664;32958.7109375;23744.623046875;24850.033203125;34200.609375;17121.76953125;20885.630859375;21911.560546875;19841.50390625
P16861;2795314.5;2776308;3168248.25;2749920.25;3812010.25;3937114.75;3960254;4013547.75
P16862;3161280.5;3084573.5;3549732.5;3100129.25;3457538.25;3535919.5;3780908.75;3747220
P16892;170087.484375;145676.796875;132557.171875;141562.1875;94870.875;105322.1015625;93066.9609375;93792.7578125
P16965;199682.5625;250830.140625;288250.15625;221913.578125;277736.75;252083.84375;259935.84375;222772.578125
P17064;72020.0390625;43264.08203125;46302.12109375;85189.8359375;59628.75;54188.99609375;43397.71484375;55645.86328125
P17065;41336.7265625;41141.72265625;34778.73046875;42709.6953125;58001.7734375;61505.6484375;61213.984375;55535.9765625
P17076;28790832;28879704;28146166;26916278;26337060;25324934;24087448;24904630
P17106;214348.515625;210252.3125;165050.296875;205741.0625;196851.078125;172387.640625;197643.640625;169614.265625
P17121;77112.3359375;30313.23828125;35927.06640625;35422.3046875;30048.69921875;18970.4375;24461.40234375;32888.19140625
P17157;83817.3984375;104420.8515625;121055.828125;102947.03125;109576.1953125;113462.1796875;126590.4609375;136203.9375
P17255;3221933.25;3414674;3655069.75;3535880.75;3330878.75;3386269.5;3321127.5;3440760.5
P17423;1207502.625;1033000;1220812;1083775.5;1158524.25;1100618.75;1135371.125;1165191.25
P17442;116308.625;89658.734375;108325.109375;87978.40625;108036.328125;114630.203125;111903.0390625;107763.390625
P17505;2009488.375;2395550.75;2154366;2183663;1840323.25;1743607.75;1772087.375;1691610.875
P17536;1063781.25;1208416.875;956705.625;1037521.8125;1395580.625;1393649.25;1492404.875;1308443.5
P17555;1803017.25;1892652.125;1823686.75;1625935.5;3843801.5;3818380.5;3615026.25;3762443.25
P17558;114474.7109375;111974.0703125;96344.6171875;102581.90625;90397.359375;89620.59375;78840.6953125;93011.0390625
P17629;49301.48828125;39074.859375;39471.28125;45563.58203125;36245.71484375;38018.6484375;36503.01953125;36294.16015625
P17649;1118594.5;1478175.875;1637786.5;1488569.375;1763107.875;2038614.5;2021183.125;1960784.5
P17695;2517077.25;2759915.75;2646327;2771227.25;2634493.75;2459113.75;2633671.25;2173533.75
P17709;4063795;5218390.5;6058717;5397237;5355100.5;5383670;5028049.5;5928620
P17883;145534.671875;152932.578125;143741.078125;166357.71875;163973.265625;169935.359375;180289.859375;189421.78125
P17890;46614.01171875;48273.125;36744.3515625;38489.109375;47028.77734375;42996.92578125;47393.0859375;41260.09765625
P17891;1024334.5625;1071690;927245.4375;1040773.875;949307.8125;954995.5;985965.3125;838491.125
P17898;248949.140625;207529.609375;333735.0625;264055.46875;265732.125;290118.125;392936.40625;331412.59375
P17967;3565662;3852099;3201380.25;3464906.75;3928273;3465356.25;3594438.25;3613085.5
P18239;4076948.5;4799512.5;5885199;4477741.5;5765346.5;6164184;6622106.5;6695351.5
P18408;19062.484375;18567.998046875;13100.3623046875;15422.3505859375;9983.6396484375;12372.4482421875;10272.017578125;11865.1162109375
P18409;31137.05078125;24040.248046875;23313.37109375;44146.41015625;15622.6337890625;18444.197265625;27593.138671875;23854.154296875
P18411;122515.6796875;139632.09375;160766.734375;150733.234375;107337.8671875;105201.765625;111100.5078125;118929.6484375
P18480;35620.19140625;36620.3984375;33336.1015625;34363.890625;24860.94140625;23652.732421875;24050.537109375;26799.884765625
P18496;57668.73828125;39424.546875;0;58586.33203125;19807.0703125;19466.544921875;14191.2822265625;10870.923828125
P18544;39970.23828125;37005.71484375;41412.94921875;42336.66015625;29730.404296875;33829.62890625;33188.29296875;36651.11328125
P18562;739521.625;764203.3125;931264.4375;805412.0625;1044285.9375;1078799.5;1071673.125;1085519.375
P18759;587339.75;558972.5625;635646.5625;639469;595384.25;629902;591171.25;622816.4375
P18851;141427.53125;118437.421875;131245.65625;156072.546875;113832.8828125;117833;116687.0625;118871.0859375
P18852;74026.734375;71693.890625;67046.0625;73160.859375;62223.65234375;63188.5078125;67953.5;63815.390625
P18899;957346.1875;1329758;1072553.625;1093764.125;983061;805496.875;913913.0625;1037417.9375
P18900;167636.5625;168239.890625;188828.796875;189488.796875;155921.953125;159343.234375;139058.671875;160006.6875
P18961;99199.0390625;60406.22265625;110119.671875;99677.375;131680.0625;143955.5;180997.203125;175020.09375
P18962;182880.328125;195640.40625;232406.109375;213978.453125;216020.015625;216300.03125;220318.109375;216203.3125
P18963;192438.75;301132.53125;178450.015625;175738.34375;234473.625;225471.328125;273198.4375;202497.34375
P19073;564827.875;540270.25;567367.5625;531853.25;505893.15625;501530.5;485220.9375;506081.25
P19097;5123220;5285464;5566203;5028590;5387957.5;4965278.5;5027232;5127740.5
P19146;204547.296875;154658.65625;271357.25;272350.15625;99479.1953125;102582.46875;159680.625;356417.78125
P19158;35448.73828125;15934.6552734375;43508.73046875;43771.1640625;27494.06640625;28864.08984375;13778.6708984375;37998.953125
P19211;40015.08203125;35516.3125;54626.20703125;61009.02734375;21561.95703125;25673.25390625;29625.001953125;43104.8203125
P19262;961722.5;975241.9375;1201543.25;1174096.875;1282426.375;1315979.125;1428195.75;1372124.25
P19263;26380.78125;18683.619140625;38714.953125;33497.41796875;46282.90234375;53391.3203125;60825.82421875;59047.34375
P19358;1381002.875;1973421.75;1793119.125;1445253.125;1739220.5;1671317.375;1636815;1758926.875
P19414;3735918.75;5351396;4373524;4071031.75;4902846.5;4994192.5;4508589;4748236
P19454;215325.21875;173712.453125;265535.75;279989.46875;365335.03125;448835.65625;529931;516112.96875
P19516;15785.107421875;15806.7421875;33647.9609375;25418.515625;11582.4462890625;9786.6181640625;14079.134765625;8609.263671875
P19524;307490.4375;269572.84375;307367.875;323072.375;277603.28125;280420.65625;315015.1875;314476.65625
P19658;53982.9921875;51658.12890625;49356.3671875;50762.515625;52133.65625;48667.03125;55396.515625;52662.4453125
P19659;43128.8125;41300.16015625;42972.29296875;59087.18359375;34921.56640625;30759.490234375;35488.08203125;32437.09765625
P19735;240697.125;301667.21875;467810.84375;485283.40625;238943.1875;246871.890625;249240.828125;297003.96875
P19812;164586.453125;142530.78125;148647.3125;158283.15625;137830.859375;143467.90625;145849.171875;143322.8125
P19880;175932.421875;189530.5;184970;191145.484375;152198.5625;124157.203125;150820.875;126037.609375
P19881;222321.859375;202811.40625;253766.4375;225986.671875;460285.625;468481.46875;523096.875;493378.03125
P19882;5080597.5;5734772.5;4664204;4977541.5;5301122.5;4788521.5;4740763;4851688
P19955;144016.671875;147511.75;144875.078125;128676.703125;164156.078125;201610.03125;183676.8125;162190.796875
