Protein;Control_1;Control_2;Control_3;Control_4;HU_1;HU_2;HU_3;HU_4
P08465;51349.53515625;62366.8984375;55206.328125;41074.6015625;63881.01953125;54146.76953125;55683.703125;57331.84375
P08466;134245.5625;134680.328125;130946.765625;118359.6953125;118742.3046875;106975.65625;99974.1796875;121258.7109375
P08518;711727.125;654600.0625;712820.1875;663569.8125;619829.4375;645080.375;635031.4375;660407.625
P08524;1917423.875;2203101.75;2066342.125;2014025.5;2492573;2418763.25;2501872;2308465.5
P08525;69734.734375;71434.0234375;77791.7890625;34007.09765625;46635.8203125;54114.96484375;52695.171875;63237.75390625
P08536;549837.0625;746188.5;622561.0625;528606.4375;545765.5;713732.6875;606020;672139.0625
P08539;80145.234375;92191.5390625;99059.8515625;94927.0859375;107401.34375;120614.2578125;129113.5390625;113706.0703125
P08566;724561.625;668840.1875;902867.0625;764600.5625;889136.5;977999.25;1113832.25;1084268.5
P08678;71040.7265625;60862.71875;82490.7421875;70780.6171875;67156.8359375;78278.921875;85791.734375;86050.484375
P08679;134019.421875;162644.46875;159545.6875;144920.5625;159948.296875;199570.046875;186721.265625;213207.8125
P08964;71729.6171875;59740.1875;65879.5078125;56121.62890625;37017.68359375;34468.38671875;32560.4453125;40534.23828125
P09032;192344.21875;167148.953125;176963.796875;178987.28125;183447;169527.71875;176149.703125;181805.09375
P09064;968278.625;993188.5;877898.9375;812862.625;890494.375;831457.9375;814366.6875;876559.375
P09232;609721.875;783294.1875;715143.25;849521.125;967172.6875;1112605.5;942301.125;990184.875
P09436;1389780.875;1614824.375;1686909.375;1383744.625;2191516;2142296.25;2223811.75;2146981.25
P09440;432369.6875;383386.4375;416103.78125;387913.375;416494.28125;430945.21875;429784.40625;421425.6875
P09457;877716.25;929226.875;852257.4375;916997.6875;1124858;1010797.3125;1037573.1875;1062019.875
P09547;143437.6875;128540.359375;128988.578125;136766.140625;100195.5625;111029.7109375;101255.8359375;119542.703125
P09620;76733.921875;86303.5234375;76360.5859375;86056.296875;91524.1171875;85148.65625;87681.203125;87465.6640625
P09624;1255992.875;1247820.625;1277441.75;1302559.25;1482936.375;1450798.375;1458586.875;1399198.125
P09733;1387538.625;1484241.125;1398103.625;1268439.75;1294857;1172529.375;1247759.375;1195700.375
P09734;372638;398031.09375;433869.84375;339883.8125;294240.90625;280263.8125;294686.75;309421.5
P09880;112383.734375;93142.828125;103682.8828125;107822.8359375;89903.5625;105128.3671875;105086.71875;113201.484375
P09938;2281663.25;2331869.75;2247492.5;2171985.5;10612875;10294749;13567880;10748722
P09950;301132.375;349517.3125;321725.5;353775.65625;251932.6875;292157.25;256076.578125;286984.875
P09959;28035.400390625;26750.326171875;27443.978515625;21195.775390625;26115.91015625;26608.912109375;21024.84765625;22699.912109375
P0C0V8;1376366.25;2847693.75;2235066.25;1963815.125;2621847.5;1946473.5;1967352.75;1760443.375
